Sıra No,Köy/Mah,N Koordinat,E Koordinat,Adres,Lat,Lon
1,Adacami,"N 41° 0' 3. 1824""","E 40° 35'49.92""","Adacami Mah. Adacami Cad. No:34/1 Adacami/Güneysu/Rize, Türkiye",41.000884,40.5972
2,Başköy,"N 40° 55' 16. 3128""","E 40° 40° 21. 666""","Altınkaya Başköy/Güneysu/Rize, Türkiye",40.921198,40.672684999999994
3,Başköy,"N 40° 56' 3. 48""","E 40° 39' 19. 6632""","Başköy Köyü Yolu Başköy/Güneysu/Rize, Türkiye",40.93429999999999,40.655462
4,Başköy,"N 40° 55' 21. 2088""","E 40° 39' 59. 4576""","Altınkaya Başköy/Güneysu/Rize, Türkiye",40.922557999999995,40.666516
5,Başköy,"N 40° 55' 20. 2944""","E 40° 39' 30. 3228""","Yıldız Başköy/Güneysu/Rize, Türkiye",40.922304,40.658423
6,Başköy,"N 40° 56' 1. 0932""","E 40° 39' 10. 1844""","Başköy/Güneysu/Rize, Türkiye",40.933637,40.652829
7,Dumankaya,N 40° 58' 10. 1352,"E 40° 35' 50. 7444""","Dumankaya/Güneysu/Rize, Türkiye",40.969482,40.597429000000005
8,Dumankaya,"N 40° 57' 49. 8024""","E 40° 35' 39. 786""","Dumankaya Köyü Yolu Dumankaya/Güneysu/Rize, Türkiye",40.963834000000006,40.594385
9,Dumankaya,"N 40° 57' 46. 6416""","E 40° 35' 34. 6524""","Dumankaya Köyü Yolu Dumankaya/Güneysu/Rize, Türkiye",40.962956000000005,40.592959
10,Eskicami,"N 40° 58' 30. 8064""","E 40° 37' 29. 3016""","Eskicami Eski Cami Cad. Eskicami/Güneysu/Rize, Türkiye",40.975224000000004,40.624806
11,Güneli,"N 40° 58' 20. 388""","E 40° 38' 43. 476""","Güneli/Güneysu/Rize, Türkiye",40.97233,40.64541
12,Güneli,"N 40° 58' 38. 37""","E 40° 38' 0. 9888""","Güneli/Güneysu/Rize, Türkiye",40.977325,40.633608
13,Gürgen,"N 40° 57' 16. 524""","E 40° 39' 15. 8256""","Gürgen/Güneysu/Rize, Türkiye",40.95459,40.654396
14,Gürgen,"N 40° 57' 12. 582""","E 40° 39' 20. 9664""",Yeşilyaprak Gürgen/Güneysu/Rize/Türkiye,40.953495000000004,40.655823999999996
15,Gürgen,"N 40° 56' 44. 40°12""","E 40° 39' 17. 8092""",Alicik Gürgen/Güneysu/Rize/Türkiye,40.94566666666666,40.654947
16,Gürgen,"N 40° 56' 45. 9996""","E 40° 39' 48. 7728""",Gürgen/Güneysu/Rize/Türkiye,40.946110999999995,40.663548
17,Kıbledağı,"N 40° 57' 12. 5208""","E 40° 38' 5. 2944""","Merkez Kıbledağı Köyü Kıbledağı/Güneysu/Rize, Türkiye",40.953478000000004,40.634804
18,Kıbledağı,"N 40° 56' 54. 3192""",E 40° 38' 42. 4968,"Mısırlı Kıbledağı İç Yolu Kıbledağı/Güneysu/Rize, Türkiye",40.948421999999994,40.645138
19,Kıbledağı,"N 40° 57' 8. 1432""","E 40° 38' 7. 9872""","Kıbledağı Köyü İç Yolu Kıbledağı/Güneysu/Rize, Türkiye",40.952262000000005,40.635552
20,Kıbledağı,"N 40° 56' 52. 602""","E 40° 37' 58. 6812""","Yenimescit Kıbledağı/Güneysu/Rize, Türkiye",40.947945,40.632967
21,Kıbledağı,"N 40° 57' 22. 2336""","E 40° 38' 0. 4056""","Merkez Kıbledağı İç Yolu Kıbledağı/Güneysu/Rize, Türkiye",40.956176000000006,40.633446
22,Merkez,"N 40° 58' 54. 3108""","E 40° 36' 10. 656""","Merkez Mah. Merkez/Güneysu/Rize, Türkiye",40.981753000000005,40.60296
23,Merkez,N 40° 58' 45. 048,E 40° 36' 31. 0752,"Merkez Estergon Cad. No:44 Merkez/Güneysu/Rize, Türkiye",40.97918,40.608632
24,Merkez,"N 40° 58' 35. 9904""","E 40° 36' 33. 6852""","Merkez Estergon Cad. No:22 Merkez/Güneysu/Rize, Türkiye",40.976664,40.609357
25,Ortaköy,"N 40° 58' 6. 1104""","E 40° 37' 31. 8648""","Yarımada Köyü Yolu Ortaköy/Güneysu/Rize, Türkiye",40.968364,40.625518
26,Ortaköy,N 40° 57' 48. 5352,"E 40° 37' 35. 9796""","Ortaköy Köyü İç Yolu Ortaköy/Güneysu/Rize, Türkiye",40.963482000000006,40.626661
27,Ortaköy,"N 40° 57' 45. 640°8""","E 40° 37' 8. 598""","Yarımada Köyü Yolu Ortaköy/Güneysu/Rize, Türkiye",40.96267777777778,40.619055
28,Ortaköy,"N 40° 57' 55. 5804""","E 40° 37' 14. 9628""","Yarımada Köyü Yolu Ortaköy/Güneysu/Rize, Türkiye",40.965439,40.620823
29,Ortaköy,"N 40° 58' 4. 5156""","E 40° 37' 44. 292""","Ortaköy Köyü İç Yolu Ortaköy/Güneysu/Rize, Türkiye",40.967921000000004,40.62897
30,Ortaköy ,"N 40° 57' 51. 4836""","E 40° 36' 59. 0868""","Ortaköy/Güneysu/Rize, Türkiye",40.964301000000006,40.616413
31,Tepebaşı,"N 40° 58' 18. 40°08""","E 40° 36' 24. 03""","Merkez Seyfettin Yılmaz Sok. Tepebaşı/Güneysu/Rize, Türkiye",40.97177777777778,40.606675
32,Tepebaşı,"N 40° 58' 41. 124""","E 40° 35' 58. 488""","Tepebaşı/Güneysu/Rize, Türkiye",40.97809,40.59958
33,Tepebaşı,"N 40° 58' 20. 8704""","E 40° 36' 1. 7748""","Seyfettin Yılmaz Sok. Tepebaşı/Güneysu/Rize, Türkiye",40.972464,40.600493
34,Ulucami,"N 40° 59' 20. 904""","E 40° 36' 13. 7268""","Ulucami, İstiklal Cad. No:54 Ulucami/Güneysu/Rize, Türkiye",40.98914,40.603813
35,Ulucami,"N 40° 59' 20. 3028""","E 40° 36' 44. 784""","Otobüs Durağı, Ulucami Rize Güneysu Yolu, Ulucami/Güneysu/Rize, Türkiye",40.988973,40.61244
36,Yarımada,"N 40° 58' 19. 1928""","E 40° 37' 29. 0028""","Yarımada Köyü Yolu No:001 Yarımada/Güneysu/Rize, Türkiye",40.971998,40.624723
37,Yarımada,"N 40° 58' 23. 9124""","E 40° 37' 47. 6904""","Merkez Yarımada Köyü Yolu Yarımada/Güneysu/Rize, Türkiye",40.973309,40.629914
38,Yarımada,"N 40° 57' 5. 58"" ","E 40° 37' 25. 2228""","Merkez Yarımada Köyü Yolu Yarımada/Güneysu/Rize, Türkiye",40.951550000000005,40.623673000000004
39,Yenicami,"N 41° 0' 2. 6604""","E 40° 35' 42. 5184""","Yenicami Mah. Adacami Cad. No:34 Yenicami/Güneysu/Rize, Türkiye",41.000739,40.595144000000005
40,Yeşilköy,"N 40° 57' 13. 3272""","E 40° 35' 40°. 3368""","Yeşilköy Köyü İç Yolu Yeşilköy/Güneysu/Rize, Türkiye",40.953702,40.59444444444445
41,Yeşilköy,"N 40° 57' 21. 564""","E 40° 35' 44. 322""","Yeşilköy Köyü İç Yolu Yeşilköy/Güneysu/Rize, Türkiye",40.95599,40.595645000000005
42,Yeşilköy,"N 40° 57' 34. 2396""",E 40° 35' 43. 2996,"Yeşilköy Köyü İç Yolu Yeşilköy/Güneysu/Rize, Türkiye",40.959511000000006,40.595361000000004
43,Yüksekköy,"N 40° 35' 19. 64""","E 40° 56' 39. 40""","Alt Mahalle Yüksekköy/Güneysu/Rize, Türkiye",40.58878888888889,40.94427777777778
